run_id,stage,entrypoint,inherits,vocab_size,shape_11l,mlp4,xsa_all_layers,muon_eqr_high_wd,ema,depth_recurrence,parallel_residuals,qk_gain_5p25,gptq_sdclip_int6,sliding_eval,ttt,env_delta,notes
A000,bridge,train_gpt_baseline.py,,1024,false,false,false,false,false,false,false,false,false,false,false,"DATA_PATH=./data/datasets/fineweb10B_sp1024 TOKENIZER_PATH=./data/tokenizers/fineweb_1024_bpe.model VOCAB_SIZE=1024 VAL_LOSS_EVERY=0","literal repository baseline clone"
A010,bridge,train_gpt_common_stack.py,,1024,false,false,false,false,false,false,false,false,false,false,false,"DATA_DIR=./data VOCAB_SIZE=1024 NUM_LAYERS=9 MLP_MULT=2 TRAIN_SEQ_LEN=1024 EVAL_SEQ_LEN=1024 TRAIN_BATCH_TOKENS=524288 XSA_LAST_N=0 NUM_LOOPS=0 PARALLEL_RESIDUAL_START=-1 QK_GAIN_INIT=1.5 MUON_ROW_NORMALIZE=0 MUON_WD=0 EMBED_WD=0 ADAM_WD=0 EMA_DECAY=0 MATRIX_BITS=8 EMBED_BITS=8 SLIDING_WINDOW_ENABLED=0 TTT_ENABLED=0 VAL_LOSS_EVERY=0","common-stack harness control; not a pure baseline"
A020,bridge,train_gpt_common_stack.py,A010,4096,false,false,false,false,false,false,false,false,false,false,false,"VOCAB_SIZE=4096","larger tokenizer step 1"
A030,bridge,train_gpt_common_stack.py,A020,8192,false,false,false,false,false,false,false,false,false,false,false,"VOCAB_SIZE=8192","larger tokenizer step 2"
A040,bridge,train_gpt_common_stack.py,A030,8192,true,false,false,false,false,false,false,false,false,false,false,"NUM_LAYERS=11","add physical depth"
A050,bridge,train_gpt_common_stack.py,A040,8192,true,true,false,false,false,false,false,false,false,false,false,"MLP_MULT=4","add 4x MLP"
A060,bridge,train_gpt_common_stack.py,A050,8192,true,true,true,false,false,false,false,false,false,false,false,"XSA_LAST_N=11","all-layer XSA as used by the common stack"
A070,bridge,train_gpt_common_stack.py,A060,8192,true,true,true,true,false,false,false,false,false,false,false,"TRAIN_SEQ_LEN=2048 EVAL_SEQ_LEN=2048 TRAIN_BATCH_TOKENS=786432 WARMDOWN_FRAC=0.72 MATRIX_LR=0.022 SCALAR_LR=0.02 TIED_EMBED_LR=0.03 MUON_MOMENTUM=0.99 MUON_MOMENTUM_WARMUP_START=0.92 MUON_MOMENTUM_WARMUP_STEPS=1500 MUON_ROW_NORMALIZE=1 MUON_WD=0.095 EMBED_WD=0.085 ADAM_WD=0.02 GRAD_CLIP_NORM=0.3","training/optimizer package from late leaderboard entries"
A080,bridge,train_gpt_common_stack.py,A070,8192,true,true,true,true,true,false,false,false,false,false,false,"EMA_DECAY=0.9965","EMA weight averaging"
A090,bridge,train_gpt_common_stack.py,A080,8192,true,true,true,true,true,true,false,false,false,false,false,"NUM_LOOPS=2 LOOP_START=3 LOOP_END=5 ENABLE_LOOPING_AT=0.35","3-layer middle depth recurrence"
A100,bridge,train_gpt_common_stack.py,A090,8192,true,true,true,true,true,true,true,false,false,false,false,"PARALLEL_RESIDUAL_START=7","parallel residuals in late layers"
A110,bridge,train_gpt_common_stack.py,A100,8192,true,true,true,true,true,true,true,true,false,false,false,"QK_GAIN_INIT=5.25","raise QK gain from strong-stack default"
A120,bridge,train_gpt_common_stack.py,A110,8192,true,true,true,true,true,true,true,true,true,false,false,"MATRIX_BITS=6 EMBED_BITS=8 MATRIX_CLIP_SIGMAS=12.85 EMBED_CLIP_SIGMAS=20.0","int6 matrix + int8 embedding GPTQ SDClip"
A125,bridge,train_gpt_common_stack.py,A120,8192,true,true,true,true,true,true,true,true,true,true,false,"SLIDING_WINDOW_ENABLED=1 EVAL_STRIDE=64","sliding-window evaluation"
A130,bridge,train_gpt_common_stack.py,A125,8192,true,true,true,true,true,true,true,true,true,true,true,"TTT_ENABLED=1 TTT_LR=0.005 TTT_EPOCHS=3 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768","legal score-first TTT"
L010,leave_one_out,train_gpt_common_stack.py,A130,8192,true,true,true,true,true,false,true,true,true,true,true,"NUM_LOOPS=0","full stack minus depth recurrence"
L020,leave_one_out,train_gpt_common_stack.py,A130,8192,true,true,true,true,true,true,false,true,true,true,true,"PARALLEL_RESIDUAL_START=-1","full stack minus parallel residuals"
L030,leave_one_out,train_gpt_common_stack.py,A130,8192,true,true,true,true,true,true,true,false,true,true,true,"QK_GAIN_INIT=5.0","full stack with QK 5.0 instead of 5.25"
L040,leave_one_out,train_gpt_common_stack.py,A130,8192,true,true,true,true,false,true,true,true,true,true,true,"EMA_DECAY=0","full stack minus EMA averaging"
L050,leave_one_out,train_gpt_common_stack.py,A130,8192,true,true,true,false,true,true,true,true,true,true,true,"MUON_ROW_NORMALIZE=0 MUON_WD=0 EMBED_WD=0 ADAM_WD=0 MATRIX_LR=0.04 SCALAR_LR=0.04 TIED_EMBED_LR=0.05 MUON_MOMENTUM=0.95 MUON_MOMENTUM_WARMUP_START=0.95 MUON_MOMENTUM_WARMUP_STEPS=0 GRAD_CLIP_NORM=0","full stack minus MuonEq-R/high-WD training package"
L060,leave_one_out,train_gpt_common_stack.py,A130,8192,true,true,false,true,true,true,true,true,true,true,true,"XSA_LAST_N=0","full stack minus XSA"
L070,leave_one_out,train_gpt_common_stack.py,A130,8192,true,true,true,true,true,true,true,true,false,true,true,"MATRIX_BITS=8 EMBED_BITS=8","full stack with GPTQ but no int6 compression pressure"
L080,leave_one_out,train_gpt_common_stack.py,A130,8192,true,true,true,true,true,true,true,true,true,true,false,"TTT_ENABLED=0","full stack minus TTT; same as A125, repeated for leave-one-out grouping"
I010,interaction,train_gpt_common_stack.py,A080,8192,true,true,true,true,true,true,false,false,false,false,false,"NUM_LOOPS=2 LOOP_START=3 LOOP_END=5 ENABLE_LOOPING_AT=0.35 PARALLEL_RESIDUAL_START=-1 QK_GAIN_INIT=5.0","recurrence only after optimizer+EMA base"
I020,interaction,train_gpt_common_stack.py,A080,8192,true,true,true,true,true,false,true,false,false,false,false,"NUM_LOOPS=0 PARALLEL_RESIDUAL_START=7 QK_GAIN_INIT=5.0","parallel residuals only after optimizer+EMA base"
I030,interaction,train_gpt_common_stack.py,A080,8192,true,true,true,true,true,true,true,false,false,false,false,"NUM_LOOPS=2 LOOP_START=3 LOOP_END=5 ENABLE_LOOPING_AT=0.35 PARALLEL_RESIDUAL_START=7 QK_GAIN_INIT=5.0","recurrence plus parallel residuals, before QK/GPTQ/eval tricks"
I040,interaction,train_gpt_common_stack.py,A120,8192,true,true,true,true,true,true,true,false,true,false,true,"QK_GAIN_INIT=5.0 SLIDING_WINDOW_ENABLED=0 TTT_ENABLED=1 TTT_LR=0.005 TTT_EPOCHS=3","TTT interaction without QK 5.25 or sliding-window score"
